access_code,status_code,geocode_status,latitude,longitude,state,ev_level2_evse_num,ev_network,ev_workplace_charging,con_CHADEMO,con_J1772,con_J1772COMBO,con_NEMA520,con_NEMA515,con_TESLA,con_NEMA1450,access_days,access_hours,weekday_access,weekend_access,daily_access,total_weekly_hours,availability_class,is_24_7,primary_use_case,avg_distance_km,area_type,log_avg_distance_km,connector_count,connector_diversity
private,E,GPS,34.2483191527193,-118.387971374344,CA,57.0,SHELL_RECHARGE,1.0,True,True,True,False,False,False,False,business,8.0,True,False,False,40.0,Medium,0,Workplace,2.0554356690051656,Rural,1.1169221909682605,3,0.42857142857142855
public,E,GPS,34.040539,-118.271387,CA,7.0,Non-Networked,0.0,False,True,False,False,False,False,False,business,15.5,True,False,False,77.5,Medium,0,Commuter,0.3475943285792481,Urban,0.2983210240071574,1,0.14285714285714285
private,E,GPS,34.059133,-118.248589,CA,338.0,Non-Networked,1.0,True,True,True,False,False,False,False,business,8.0,True,False,False,40.0,Medium,0,Workplace,0.15693125072015812,Urban,0.14577102615235715,3,0.42857142857142855
private,E,GPS,33.759802,-118.096665,CA,19.0,Non-Networked,1.0,True,True,True,False,False,False,False,business,8.0,True,False,False,40.0,Medium,0,Workplace,1.2254954215530884,Rural,0.7999795522050139,3,0.42857142857142855
private,E,200-8,33.770508,-118.265628,CA,10.0,Non-Networked,1.0,False,True,False,False,False,False,False,business,8.0,True,False,False,40.0,Medium,0,Workplace,0.24322399820032872,Urban,0.21770800401662738,1,0.14285714285714285
private,E,200-8,34.30309,-118.480505,CA,2.0,Non-Networked,0.0,False,True,False,False,False,False,False,business,8.0,True,False,False,40.0,Medium,0,Commuter,1.3662731471613463,Rural,0.8613162057064803,1,0.14285714285714285
private,E,200-8,34.066801,-118.227605,CA,46.0,Non-Networked,1.0,True,True,False,False,False,False,False,business,8.0,True,False,False,40.0,Medium,0,Workplace,0.46789093705485785,Urban,0.38382663387305954,2,0.2857142857142857
private,E,200-8,34.036777,-118.368841,CA,13.0,Non-Networked,0.0,False,True,False,False,False,False,False,business,8.0,True,False,False,40.0,Medium,0,Commuter,0.7666676520709415,Rural,0.5690950896658155,1,0.14285714285714285
private,E,GPS,34.039736,-118.236065,CA,27.0,Non-Networked,1.0,False,True,False,False,False,False,False,business,8.0,True,False,False,40.0,Medium,0,Workplace,0.2368360400555602,Urban,0.212556538186783,1,0.14285714285714285
public,E,GPS,32.89947,-117.243,CA,1.0,Non-Networked,0.0,False,True,False,False,False,False,False,daily,24.0,True,True,True,168.0,24/7,1,Travel Corridor,0.30636167701691897,Urban,0.2672459274435683,1,0.14285714285714285
public,E,200-9,34.221665,-118.468371,CA,2.0,Non-Networked,0.0,False,True,False,False,False,False,False,business,8.0,True,False,False,40.0,Medium,0,Commuter,0.5150143387982007,Urban,0.41542490346981165,1,0.14285714285714285
