Station,Latitude,Longitude,Rating,Address,Provider
BasiGo Charging Station,-1.2781845,36.8731875,4.2,Nairobi,BasiGo
BasiGo Charging Station,-1.2835231,36.7330826,0.0,"PP8M+H6W, Nairobi",BasiGo
Electric Vehicle Charging Station,-1.2998057,36.7949811,5.0,"PQ2V+3XH, Ngong Rd, Nairobi",Electric
Electric Vehicle Charging Station,-1.3298371,36.7145772,4.0,"MPC7+3R8, Langata Rd, Nairobi",Electric
EVChaja Charging Station,-1.2107786,36.7946269,5.0,"QQQV+MVJ, Limuru Rd, Nairobi",EVChaja
Roam Hub - Lusaka,-1.3013251,36.832909,4.3,"Total Energies, Lusaka Rd, Nairobi",Roam
Roam Hub - Wayaki Way,-1.2587211,36.7813233,5.0,"Waiyaki Wy, Nairobi",Roam
Ecotrify,-1.2891886,36.7932771,0.0,"Mpuuga Gardens, Hurlingham Court, Rose Ave, Nairobi",Unknown
SupaChaja Charging Station,-1.1867578,36.9973453,4.0,Ruiru,SupaChaja
Roam Hub - Quickmart Roysambu,-1.2152134,36.8917515,5.0,"Quickmart, Nairobi",Roam
Electric Vehicle Charging Station,-1.3170867,36.718283,0.0,"2nd Karen Rd, Nairobi",Electric
BasiGo Depot - Embakasi,-1.3293364,36.8931013,5.0,"MVCV+PJ, Nairobi",BasiGo
Ampersand Starehe - Swap Station,-1.2775495,36.837125,5.0,"Starehe, Nairobi",Ampersand
Electric Vehicle Charging Station,-1.2151919,36.8918691,0.0,"QVMR+WPH Quick Mart Roysambu, Nairobi",Electric
Electric Vehicle Charging Station,-1.2818337,36.9021357,0.0,"PW92+7V6, Kayole Spine Rd, Nairobi",Electric
Roam Hub - Kayole,-1.2817337,36.9052,5.0,"Kayole Spine Rd, Nairobi",Roam
BasiGo Charging Station - Kikuyu,-1.2491875,36.6730625,4.5,"QM2F+86Q, Rungiri",BasiGo
Ampersand Mountain View - Swap Station,-1.2650625,36.7385625,0.0,"PPMQ+XC, Nairobi",Ampersand
Ampersand Wangige Swap Station,-1.2208125,36.7129375,0.0,"QPH7+M5F, Wamakumi Rd, Wangige",Ampersand
BasiGo Charging Station,-1.0426126,37.0718146,0.0,"X35C+2PP, Thika",BasiGo
