area,name,lat,lng,type,rating,user_ratings_total,vicinity
CBD,Nairobi,-1.2920659,36.8219462,mall,,,Nairobi
CBD,Sarova Stanley Nairobi - 5 Star Hotel,-1.2842084,36.8228685,mall,4.6,8914.0,"Junction Of Kenyatta Avenue and, Kimathi Street, Nairobi"
CBD,Nairobi Apartments,-1.2920659,36.82194619999999,mall,4.2,106.0,"Mokhtar Nairobi KE, Dahha Street, Nairobi"
CBD,Laico Regency,-1.2849312,36.81649889999999,mall,4.2,3201.0,"Nairobi Central Loita St, Uhuru Highway, Nairobi"
CBD,Hotel Central Park & Conference Center,-1.2849975,36.8277109,mall,4.0,1825.0,Sheikh Karume Rd
CBD,Hillpark Hotel,-1.3002043,36.82041539999999,mall,4.3,2037.0,"Lower Hill Road, Nairobi"
CBD,680 Hotel,-1.2855361,36.8206643,mall,4.1,1627.0,"Muindi Mbingu Street, Nairobi"
CBD,Oakwood Hotel,-1.2841033,36.823441,mall,3.9,110.0,"Elite Hse, Starehe"
CBD,Nairobi Serena Hotel,-1.2870297,36.8145232,mall,4.7,5731.0,"Kenyatta Avenue, Nairobi"
CBD,Ambassadeur Hotel,-1.2855752,36.8260672,mall,4.1,3897.0,"PR7G+QC3, Moi Avenue, Nairobi"
CBD,Kenya Airways,-1.2847831,36.8178624,mall,3.9,232.0,"Barclays Plaza, 11 th Floor"
CBD,Laury-Ntines Salon,-1.287414,36.82478800000001,mall,,,"Reinsurance Plaza, Aga Khan Walk, Nairobi"
CBD,Classic Movie House,-1.2872829,36.8283892,mall,,,"PR7H+39J, Nairobi CBD, Mfangano Street, Nairobi City"
CBD,Mumbu Holding,-1.2847546,36.8245282,mall,4.0,2.0,"Norwich Union House, Off Kimathi Lane, Nairobi"
CBD,GeoMara @ West Heights Junction Mall,-1.2920659,36.82194619999999,mall,,,Mararo Avenue West Heights B26 9th floor
CBD,Telecommunications Solution Centre,-1.2841727,36.82376579999999,mall,3.5,8.0,"Old Mutual Building, Kimathi Kimathi Street, Nairobi"
CBD,Paris Hotel,-1.286387,36.827732,mall,4.0,504.0,"Mfangano Street, Nairobi"
