Name,Type,Latitude,Longitude,Rating,Address
Diamond Plaza 1,mall,-1.2583114,36.8184193,4.1,LRI 46 Fourth Parklands Avenue
Sarit,mall,-1.2611605,36.80197769999999,4.5,"Sarit Centre, Lower Kabete Rd, Nairobi"
Abc Place Nairobi,mall,-1.2596849,36.777006,4.5,"Waiyaki Wy, Nairobi"
Quincy Mall,mall,-1.325894,36.77796319999999,4.1,"MQFH+J5W, Nairobi"
Broadwalk Mall,mall,-1.2714007,36.812454,4.6,"Ojijo Rd, Nairobi"
Westgate Shopping Mall,mall,-1.2575959,36.8030508,4.5,"18 Mwanzi Rd, Nairobi"
Westfield Mall,mall,-1.289898,36.7735482,4.4,78659-0507
Signature Mall,mall,-1.4173426,36.9537234,4.3,"Signature Mall, Pridelands"
Kilimani Shujah Mall,mall,-1.2951078,36.7880667,4.9,"Ring Rd Kilimani, Nairobi"
Foresters Shopping Mall,mall,-1.2826057,36.8228781,4.0,"PR8F+X52, Moi Ave, Nairobi"
Hotel Montana and Mall,mall,-1.2833174,36.8276013,4.2,"PR8H+M2H, Nairobi"
Yaya Centre,mall,-1.2926914,36.7874763,4.4,"Argwings Kodhek Rd, Nairobi"
Kings shopping mall,mall,-1.2752083,36.84887519999999,4.4,"Kings Shopping center, Mohammed Yusuf Haji Ave, Nairobi"
Galleria Mall,mall,-1.3434791,36.76597539999999,4.4,"Junction of Magadi &, Langata Rd, Nairobi"
baraka estate shopping mall,mall,-1.2981968,36.9122454,4.1,"PW26+PWJ, Nairobi City"
GTC Boutique Mall,mall,-1.2701618,36.8087166,4.4,"PRH5+VCF, Nairobi"
The Junction Mall,mall,-1.298489,36.7624734,4.4,"Junction, Ngong Road, Kingara Rd, Nairobi"
Garden City Mall,mall,-1.2324833,36.8787799,4.5,"Thika Rd, Nairobi"
Kitengela Mall,mall,-1.4791088,36.9583914,4.4,Kitengela
"The Mall, Westlands",mall,-1.2643982,36.80279549999999,4.2,"Ring Rd Parklands, Nairobi"
Shell,petrol station,-1.267356,36.8174459,4.0,"Parklands Road, Next To Laxicon Plaza, Nairobi"
Shell,petrol station,-1.2920486,36.784909,4.2,"Argwings Kodhek Road Klilimani, Near Yaya Centre, Nairobi"
TotalEnergies Kileleshwa service station,petrol station,-1.2824943,36.7848106,4.4,"Olengruone Ave Kileleshwa, Likoni Rd"
Shell Windsor Northern bypass,petrol station,-1.2161243,36.8466828,4.4,"500M From Windsor Roundabout, Northern Bypass Rd"
Shell,petrol station,-1.2599288,36.7857094,4.1,"Opp Safaricom, Waiyaki Wy, Nairobi"
Shell petrol station Roasters,petrol station,-1.2354306,36.873263,4.4,"At the Graden City Mall round about entry to EABL, Embu - Nairobi Hwy, Nairobi"
Shell,petrol station,-1.2990373,36.7635418,4.3,"Ngong Rd, Nairobi"
TotalEnergies Statehouse Road service station,petrol station,-1.2862347,36.7966509,4.3,"Dennis Pritt Rd, Nairobi"
Shell,petrol station,-1.3077417,36.8036476,4.3,"Mbagathi Rd, Nairobi"
Astrol Mombasa Road,petrol station,-1.3686205,36.9166532,4.1,Nairobi
Shell petrol station- Syokimau,petrol station,-1.3571805,36.907854,4.4,"Syokimau, Next To Mitchell Cotts, Mombasa Rd, Nairobi"
Shell,petrol station,-1.2499062,36.8612706,4.2,"Thika Rd, Nairobi"
TotalEnergies South C service station,petrol station,-1.3129633,36.8297536,4.0,"Mombasa Road, Nairobi"
Astrol Petrol station - Ridgeways,petrol station,-1.227626,36.8405798,4.5,"Near muthokinju, Astrol Station, Kiambu Road, Nairobi"
TotalEnergies Syokimau service station,petrol station,-1.3770332,36.9264544,4.3,"Mombasa Road, Nairobi"
SHELL KASARANI PETROL STATION,petrol station,-1.2182527,36.8958723,4.4,"1°13'05.8""S 36°, 44 Eighth St, Nairobi"
TotalEnergies Komarock service station,petrol station,-1.2654658,36.9049273,4.2,"Kangundo Rd, Nairobi"
SHELL GIKAMBURA PETROL STATION,petrol station,-1.2809279,36.6566267,4.5,"PM94+JJQ Gikambura, Dagoretti road"
TotalEnergies Donholm Service Station,petrol station,-1.3015128,36.8880019,4.1,"Outer Ring Rd, Nairobi"
"Shell Petrol Station, Pheroze",petrol station,-1.268494,36.908417,4.1,Nairobi
CPF Metro Park,public parking,-1.2860729,36.8213406,4.1,"PR7C+HGG, General Kago St, Nairobi"
Central Police Parking,public parking,-1.2791311,36.8185356,5.0,"PRC9+8CV City Centre, Nairobi"
Hometown Parking,public parking,-1.3184978,36.8464038,4.5,"Home Town Village, Plainsview Rd, Nairobi"
Kenyatta market /carwash and parking,public parking,-1.3066089,36.8016815,3.7,"Kenyatta Market Mbagathi Rd, Nairobi"
Parking,public parking,-1.2920286,36.8245304,4.5,"PR5F+5RJ, Pate Bay Rd, Nairobi"
Triopals Parking Lot,public parking,-1.2842196,36.8174208,3.0,"PR88+8X7, Nairobi"
Holy Family Minor Basillica Car Park,public parking,-1.2865556,36.8205714,4.7,"PR7C+96G, Kaunda St, Nairobi"
Arts Complex Parking Lot,public parking,-1.1784527,36.9297534,4.1,"RWCH+JW6, Nairobi"
Two rivers (B) parking,public parking,-1.212024,36.7964346,4.7,"QQQW+5HV, Nairobi"
Sarova Panafric Hotel Parking,public parking,-1.2899665,36.8104402,4.8,"PR56+X5W, Kenyatta Ave, Nairobi"
Green Belt Parking,public parking,-1.2787332,36.8222706,4.3,"PRCC+GW2, Nairobi"
KICC Car Park,public parking,-1.2888178,36.8210643,4.2,Nairobi
Magiwa Estate - Parking Field B,public parking,-1.3119281,36.801804,4.2,"MRQ2+6PF, Nairobi"
Parkside Parking,public parking,-1.3252686,36.8484718,4.3,"Mombasa Road, Nairobi"
VISITORS PARKING,public parking,-1.2920659,36.8219462,5.0,"PR5C+5QG, Nairobi"
Nairobi national museum parking,public parking,-1.2733839,36.8144831,4.8,"PRG7+JQX, Nairobi"
UoN PARKING LOT,public parking,-1.279772,36.81509,4.4,"PRC8+32W, Nairobi"
Moi University Parking,public parking,-1.2835295,36.8165692,4.0,"PR88+HJP, Moi Ave, Nairobi"
